2023-02-23 11:17:48.600; ImpedanceCheck; 0; 32; 1000; 5.528; BA DC
2023-02-23 11:18:49.196; Saving Test signal; 0; 32; 1000; 5.528; BA DC
2023-02-23 11:20:33.090; Test signal; 0; 32; 1000; 5.531; BA DC
2023-02-23 11:33:11.630; ImpedanceCheck; 0; 32; 1000; 5.529; BA DC
2023-02-23 11:34:16.344; ImpedanceCheck; 0; 32; 1000; 5.549; BA DC
2023-02-23 11:35:18.637; ImpedanceCheck; 0; 32; 1000; 5.549; BA DC
2023-02-23 11:36:21.982; ImpedanceCheck; 0; 32; 1000; 5.528; BA DC
2023-02-23 11:37:21.972; Test signal; 1; 32; 1000; 5.528; BA DC
2023-02-23 11:38:22.738; Test signal; 0; 32; 1000; 5.528; BA DC
2023-02-23 11:39:22.762; Test signal; 1; 32; 1000; 5.528; BA DC
2023-02-23 11:40:23.467; Test signal; 1; 32; 1000; 5.528; BA DC
2023-02-23 11:41:23.481; Test signal; 0; 32; 1000; 5.528; BA DC
2023-02-23 11:42:23.491; Test signal; 1; 32; 1000; 5.528; BA DC
2023-02-23 11:43:23.599; Saving Test signal; 1; 32; 1000; 5.528; BA DC
2023-02-23 11:53:50.912; ImpedanceCheck; 0; 32; 1000; 5.528; BA DC
2023-02-23 11:54:53.995; ImpedanceCheck; 0; 32; 1000; 5.528; BA DC
2023-02-23 11:55:54.240; Test signal; 0; 32; 1000; 5.529; BA DC
2023-02-23 11:57:22.423; ImpedanceCheck; 0; 32; 1000; 5.527; BA DC
2023-02-23 11:58:24.875; ImpedanceCheck; 0; 32; 1000; 5.522; BA DC
2023-02-23 11:59:27.638; ImpedanceCheck; 0; 32; 1000; 5.519; BA DC
2023-02-23 12:00:31.305; ImpedanceCheck; 0; 32; 1000; 5.518; BA DC
2023-02-23 12:01:38.236; ImpedanceCheck; 0; 32; 250; 5.527; BA DC
2023-02-23 12:03:10.208; ImpedanceCheck; 0; 32; 1000; 5.529; BA DC
2023-02-23 12:04:12.534; ImpedanceCheck; 0; 32; 1000; 5.527; BA DC
2023-02-23 12:05:16.366; ImpedanceCheck; 0; 32; 1000; 5.522; BA DC
2023-02-23 12:20:03.949; ImpedanceCheck; 0; 32; 250; 5.529; BA DC
2023-02-23 12:21:14.003; ImpedanceCheck; 0; 32; 1000; 5.530; BA DC
2023-02-23 12:22:17.905; ImpedanceCheck; 0; 32; 1000; 5.527; BA DC
2023-02-23 12:23:20.651; ImpedanceCheck; 0; 32; 1000; 5.527; BA DC
2023-02-23 12:24:23.084; ImpedanceCheck; 0; 32; 1000; 5.529; BA DC
2023-02-23 12:25:23.744; Monitoring; 1; 32; 1000; 5.528; BA DC
2023-02-23 12:26:23.752; Monitoring; 1; 32; 1000; 5.528; BA DC
2023-02-23 12:27:24.469; Test signal; 1; 32; 1000; 5.528; BA DC
2023-02-23 12:28:32.912; ImpedanceCheck; 0; 32; 1000; 5.529; BA DC
2023-02-23 12:29:35.364; ImpedanceCheck; 0; 32; 1000; 5.529; BA DC
2023-02-23 12:30:37.668; ImpedanceCheck; 0; 32; 1000; 5.529; BA DC
2023-02-23 12:31:40.254; ImpedanceCheck; 0; 32; 1000; 5.529; BA DC
2023-02-23 12:32:44.174; ImpedanceCheck; 0; 32; 1000; 5.534; BA DC
2023-02-23 12:33:47.368; ImpedanceCheck; 0; 32; 1000; 5.532; BA DC
2023-03-15 13:48:41.656; ImpedanceCheck; 0; 1; 1000; 5.523; ExG16
2023-03-15 13:49:45.570; ImpedanceCheck; 0; 1; 1000; 5.522; ExG16
2023-03-21 11:26:39.480; ImpedanceCheck; 0; 32; 1000; 5.527; BA DC
